CPB;titulo;categoria;n_chamadas_fsa;todas_chamadas;todos_valores;tem_complementacao;tem_comercializacao;cat_nova;motivo_cat;cat_antiga;reclassificada
B1900514000000;D'ARQUEOLOGIA - A OCUPAÇÃO DO BRASIL;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;226000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900379100000;DEPOIS DE SER CINZA;FSA SAV/MINC / Arranjos Regionais;3;ARRANJOS REGIONAIS|PRODECINE 04|COMERCIALIZAÇÃO EM CINEMA;600000|377300|100000;True;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900298300000;DESTINO DAS SOMBRAS;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|PRODECINE 04;600000|88773;True;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B2000230900000;DESVIO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;500000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900090000000;DISFORIA;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|COMERCIALIZAÇÃO EM CINEMA;300000|200000;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900423900000;DOIS TEMPOS;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;156461;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900288400000;DR. OCRIDE;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;250000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900247000000;EM REFORMA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;50000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900336600000;FAIXA DE GAZA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;46667;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900205100000;FOTOGRAFAÇÃO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;150000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900201200000;GÊNERO PLURAL;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;85600;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B2000100400000;HOSANA NAS ALTURAS;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;46667;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900247500000;MEZANINO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;100000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900153500000;NATUREZA DO HOMEM;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;265967;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900197700000;NATUREZA DO HOMEM;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;265967;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
