CPB;titulo;categoria;n_chamadas_fsa;todas_chamadas;todos_valores;tem_complementacao;tem_comercializacao;cat_nova;motivo_cat;cat_antiga;reclassificada
B1800216300000;RICK COM MONSTROS NOS DEDOS - EPISÓDIO PILOTO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;43538;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800466100000;TEMPORADA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;450000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800454800000;XADALU E O JAGUARETÊ;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;150000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900471700000;A ARTE URBANA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;94520;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900494600000;A BATALHA DE SHANGRI-LÁ;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|PRODECINE 04;733300|613912;True;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900371300000;A CIDADE DO FUTURO TV;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;200000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900611200000;A CIDADE DOS ABISMOS;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;150000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900585300000;A MARAVILHA DO SÉCULO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;127500;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900249100000;A NOITE AMARELA;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|PRODECINE 04;500000|187475;True;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900617900000;A ÉTICA DAS HIENAS;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;46667;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900347600000;AMBIENTE FAMILIAR;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;333333;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B2000007500000;APERTE START, WOLFGANG;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;54000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900158800000;AVENTURAS DE AMÍ;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;910000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900223700000;BAIXO CENTRO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;450000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900498800000;BATE CORAÇÃO;FSA SAV/MINC / Arranjos Regionais;3;ARRANJOS REGIONAIS|PRODECINE 01|PRODECINE 04;588487|500000|492968;True;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900045700000;BECO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;150280;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900160800000;BOIS, RAPOSAS E CROCODILOS;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;180345;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900591800000;BORIS E RUFUS- TEMPORADA 03;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;950000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900504800000;BRASÍLIA, A HISTÓRIA DA HISTÓRIA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;400000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900561100000;CAPITÃO ASTÚCIA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;1997507;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900268200000;CASALTOPIA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;53995;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900583200000;CIDADE PÁSSARO;FSA SAV/MINC / Arranjos Regionais;3;ARRANJOS REGIONAIS|PRODAV 07|PRODAV 06;300000|300000|105428;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900308000000;CURTAS JORNADAS NOITE ADENTRO;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|COMERCIALIZAÇÃO EM CINEMA;150000|100000;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
