cnpj_produtora,razao,n_obras,fsa_total_mi,inv_total_mi,publico_total,publico_med,renda_total_mi,efic,pct_cinema,pct_intl,admissoes_eu,critica_med,uf,cluster,cluster_label
19.265.893/0001-25,AUTORIAS PRODUCOES CINEMATOGRAFICAS LTDA.,3,1.8258588766808603,1.8258588766808603,133.0,133.0,0.0021004,202.31014987495433,33.33333333333333,0.0,0.0,4.1,PE,0.0,Produção para TV/VoD
11.966.450/0001-50,CANABRAVA FILMES EIRELI,1,1.2244316,1.81915552,75.0,75.0,0.0012572899999999999,41.22792096411856,100.0,100.0,0.0,3.89,MG,,Emergentes / micro
08.794.303/0001-35,COSTA BARROS FILMES E PRODUÇÕES LTDA ME,1,1.7844132000000001,1.7844132000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,CE,,Emergentes / micro
23.064.648/0001-27,PONTA NEGRA FILMES LTDA-ME,1,1.7844132000000001,1.7844132000000001,299.0,299.0,0.001984,167.5620870771411,100.0,0.0,0.0,3.4,RN,,Emergentes / micro
00.360.459/0001-04,DOCUMENTA PRODUCOES EIRELI - ME,3,1.7821234164800002,1.7821234164800002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,RJ,2.0,Baixo retorno / nicho
12.126.484/0001-07,BOULEVARD FILMES LTDA,2,1.513799506,1.754327579,1075.0,1075.0,0.01483743,1354.3845035341644,50.0,50.0,0.0,4.5,SP,3.0,Comerciais de sala
16.957.757/0001-08,ENTRE FILMES PRODUCOES LTDA - ME,1,1.7449024894,1.7449024894,3815.0,3815.0,0.04291663,2186.3685926150642,100.0,100.0,0.0,4.003,MG,,Emergentes / micro
09.397.798/0001-21,KLAXON CULTURA AUDIOVISUAL LTDA,2,1.6053855868,1.7436353868,3284.0,3284.0,0.03305693,6619.605918169576,50.0,100.0,0.0,3.532,SP,1.0,Prestígio internacional
29.555.333/0001-69,R. SHIZUKO TAKAMATSU - FILMES,2,1.7402425,1.7402425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,PR,2.0,Baixo retorno / nicho
17.814.194/0001-61,SOB ENCOMENDA PRODUCOES LTDA,1,1.7393596663714501,1.7393596663714501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,CE,,Emergentes / micro
39.183.983/0001-84,"FRANCO PRODUÇÕES, FILMES, EVENTOS E PROMOÇÕES LTDA - ME.",1,0.96655715,1.732967914,3162.0,3162.0,0.04392332,1824.615432550934,100.0,0.0,0.0,4.4,RJ,,Emergentes / micro
04.696.982/0001-59,LANTERNA MÁGICA PRODUÇÕES EIRELI,1,1.72908430244592,1.72908430244592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,DF,,Emergentes / micro
01.464.291/0001-31,KINOFILMES PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA,1,1.2638552592299999,1.7285433964199999,1392.0,1392.0,0.01434192,805.3023157434071,100.0,0.0,0.0,3.543,RJ,,Emergentes / micro
03.767.725/0001-06,FABRICA ESTUDIOS LTDA,2,1.727523,1.727523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,PE,2.0,Baixo retorno / nicho
07.168.260/0001-10,CUMBARU PRODUÇÕES ARTÍSTICAS LTDA - ME,2,1.727523,1.727523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.708,MT,2.0,Baixo retorno / nicho
17.192.316/0001-25,SEUFILME PRODUCOES AUDIOVISUAIS LTDA,2,0.5865118414839999,1.7248323414839999,2820.0,1410.0,0.03139129,1728.5795517043925,100.0,50.0,0.0,3.857,RJ,3.0,Comerciais de sala
63.190.623/0001-94,PORTFOLIUM LABORATÓRIO DE IMAGENS EIRELI,3,1.7220864303999999,1.7220864303999999,6894.0,6894.0,0.09126283,19706.28657411325,33.33333333333333,0.0,0.0,3.89,BA,0.0,Produção para TV/VoD
40.530.917/0001-12,SANTO GUERREIRO COMUNICAÇÃO E EVENTOS EIRELI.,2,1.71690649,1.71690649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4665,BA,2.0,Baixo retorno / nicho
