k_tit,titulo,admissoes_europa,vod_presencas,vod_paises,n_festival_atas,tem_coproducao,tem_ibermedia,cpb,n_apoio_festival,n_canais_intl
tawai a voice from the forest,Tawai: A voice from the forest,0.0,86.0,24.0,0.0,0.0,0.0,,0,1
tender resistance,Tender Resistance,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
the case of j,The Case of J.,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
the cause and the shadow,The Cause and the Shadow,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
the circle brazil,The Circle: Brazil,0.0,28.0,28.0,0.0,0.0,0.0,,0,1
the coup d etat factory a fantastica fabrica de golpes,The Coup d'État Factory (A Fantástica Fábrica de Golpes),0.0,2.0,2.0,0.0,0.0,0.0,,0,1
the forgotten treasure,The Forgotten Treasure,0.0,2.0,2.0,0.0,0.0,0.0,,0,1
the french teacher,The French Teacher,0.0,153.0,29.0,0.0,0.0,0.0,,0,1
the last adventure of the gandul diary of a shipwreck,The Last Adventure Of the Gandul: Diary of a Shipwreck,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
the lost gold,The Lost Gold,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
the male gaze bitter sweet,The Male Gaze: Bitter Sweet,0.0,7.0,7.0,0.0,0.0,0.0,,0,1
the male gaze breaking dawn,The Male Gaze: Breaking Dawn,0.0,5.0,5.0,0.0,0.0,0.0,,0,1
the male gaze celluloid dreams,The Male Gaze: Celluloid Dreams,0.0,7.0,7.0,0.0,0.0,0.0,,0,1
the male gaze hide and seek,The Male Gaze: Hide and Seek,0.0,5.0,5.0,0.0,0.0,0.0,,0,1
the male gaze reality bites,The Male Gaze: Reality Bites,0.0,3.0,3.0,0.0,0.0,0.0,,0,1
the male gaze shadows on skin,The Male Gaze: Shadows on Skin,0.0,8.0,8.0,0.0,0.0,0.0,,0,1
the motivation,The Motivation,0.0,23.0,19.0,0.0,0.0,0.0,,0,1
the mystery of the pink dolphin,The Mystery of the Pink Dolphin,0.0,31.0,26.0,0.0,0.0,0.0,,0,1
the phenomenon,The Phenomenon,0.0,7.0,7.0,0.0,0.0,0.0,,0,1
the salt of the earth,The Salt of the Earth,0.0,60.0,14.0,0.0,0.0,0.0,,0,1
