chamada,valor_mi,legado_cat,meu_automatismo,esperado_automatismo,meu_criterio,esperado_criterio,meu_elo,esperado_elo,meu_destino,esperado_destino,meu_macro,origem,status,divergencias,fonte_oficial
SAV/MINC 04,14.1,SAV,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,comissao,comissao,Outros,,SAV,auto,confere,,https://www.gov.br/ancine/pt-br (SAV/MinC — editais regionais)
PRODAV 13,14.0,_tv_excluir,seletivo_leitura,,nao_aplica,,produtora,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://brde.com.br/producao/ (FSA › Produção TV/VOD)
COMERCIALIZAÇÃO - OPÇÃO DE INVESTIMENTO EM COMERCIALIZAÇÃO,13.0,Comercializacao,comercializacao,comercializacao,bilheteria,,produtora,,Cinema,Cinema,FSA Cinema,auto,confere,,https://brde.com.br/fsa/chamada-publica-brde-fsa-cinema-via-distribuidora-2022/
SAV/MINC 02,12.6,SAV,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,comissao,comissao,Outros,,SAV,auto,confere,,https://www.gov.br/ancine/pt-br (SAV/MinC — editais regionais)
SAV/MINC 08,10.0,SAV,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,comissao,comissao,Outros,,SAV,auto,confere,,https://www.gov.br/ancine/pt-br (SAV/MinC — editais regionais)
PRODECINE 06,7.5,Coprod,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,produtora,produtora,Cinema,Cinema,Coprodução,auto,confere,,https://brde.com.br/producao/ (FSA › Produção Cinema)
SAV/MINC 10,5.6,SAV,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,comissao,comissao,Outros,,SAV,auto,confere,,https://www.gov.br/ancine/pt-br (SAV/MinC — editais regionais)
SAV/MINC 09,4.4,SAV,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,comissao,comissao,Outros,,SAV,auto,confere,,https://www.gov.br/ancine/pt-br (SAV/MinC — editais regionais)
PRODECINE 07,3.7,Coprod,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,produtora,produtora,Cinema,Cinema,Coprodução,auto,confere,,https://brde.com.br/producao/ (FSA › Produção Cinema)
SAV/MINC 05,3.5,SAV,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,comissao,comissao,Outros,,SAV,auto,confere,,https://www.gov.br/ancine/pt-br (SAV/MinC — editais regionais)
SAV/MINC 07,2.8,SAV,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,comissao,comissao,Outros,,SAV,auto,confere,,https://www.gov.br/ancine/pt-br (SAV/MinC — editais regionais)
SAV/MINC 06,2.2,SAV,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,comissao,comissao,Outros,,SAV,auto,confere,,https://www.gov.br/ancine/pt-br (SAV/MinC — editais regionais)
PRODECINE 08,1.9,Coprod,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,produtora,produtora,Cinema,Cinema,Coprodução,auto,confere,,https://brde.com.br/producao/ (FSA › Produção Cinema)
PRODECINE 09,1.3,Coprod,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,produtora,produtora,Cinema,Cinema,Coprodução,auto,confere,,https://brde.com.br/producao/ (FSA › Produção Cinema)
CONCURSO PRODUÇÃO PARA CINEMA - COPRODUÇÃO PORTUGAL-BRASIL,1.2,Coprod,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,produtora,produtora,Cinema,Cinema,Coprodução,auto,confere,,https://www.brde.com.br/fsa/chamada-publica-brde-fsa-producao-cinema-2022/
PRODECINE 10,0.7,Coprod,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,produtora,produtora,Cinema,Cinema,Coprodução,auto,confere,,https://brde.com.br/producao/ (FSA › Produção Cinema)
CONCURSO PRODUÇÃO PARA CINEMA - COPRODUÇÃO CHILE-BRASIL,0.6,Coprod,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,produtora,produtora,Cinema,Cinema,Coprodução,auto,confere,,https://www.brde.com.br/fsa/chamada-publica-brde-fsa-producao-cinema-2022/
PRODECINE 12,0.6,Coprod,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,produtora,produtora,Cinema,Cinema,Coprodução,auto,confere,,https://brde.com.br/producao/ (FSA › Produção Cinema)
CONCURSO PRODUÇÃO PARA CINEMA - COPRODUÇÃO URUGUAI-BRASIL,0.2,Coprod,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,produtora,produtora,Cinema,Cinema,Coprodução,auto,confere,,https://www.brde.com.br/fsa/chamada-publica-brde-fsa-producao-cinema-2022/
