cpb;titulo;ano;categoria;segmento_destinacao_inicial;investimento_total_deflac
B2100414300000;CLUBE DA ANITTINHA - TERCEIRA TEMPORADA;2021;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3452203.6
B2100302700000;DRAG ME AS A QUEEN – TERCEIRA TEMPORADA;2021;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2919728.55
B2100491200000;EM NOME DA JUSTIÇA - 2ª TEMPORADA;2021;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3011895.02
B2100498200000;ESTRADA NATURAL;2021;Renúncia — Outros Mecanismos;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);542988.58
B2100446100000;FUJA SE FOR CAPAZ;2021;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3480696.0
B2100168100000;GALERA FC;2021;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);4589019.13
B2100433700000;GLITTER MODEL - GIRL POWER JÁ;2021;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3480115.26
B2300427900000;HOMENS DO CAMINHO - ROTAS HISTÓRICAS BRASILEIRAS A CAVALO - 3ª TEMPORADA;2021;Renúncia — Outros Mecanismos;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1401884.7
B2100323600000;HOMENS DO CAMINHO - ROTAS HISTÓRICAS BRASILEIRAS NA COMPANHIA DO MANGALARGA MARCHADOR - 2ª TEMPORADA;2021;Renúncia — Outros Mecanismos;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1473172.23
B2100450400000;INSPIRA.MOV BRASIL - TERCEIRA TEMPORADA;2021;Renúncia — Outros Mecanismos;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);638127.6
B2100074100000;IRMÃO DO JOREL - 4ª TEMPORADA;2021;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);7939389.45
B2100525200000;JUJU BOOT CAMP - 2ª TEMPORADA;2021;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3480696.0
B2100272900000;O HÓSPEDE AMERICANO;2021;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);16979915.96
B2100148700000;O RIM DE RILDO;2021;Renúncia — Art.3/3-A/39;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);0.0
B2100176100000;OS AUSENTES;2021;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);0.0
B2100179800000;OS SZAFIRS - 2ª TEMPORADA;2021;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3279234.43
B2100452000000;PALAVRA ALADA;2021;Renúncia — Outros Mecanismos;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);406081.2
B2100077600000;PAPO MUSICAL;2021;Renúncia — Outros Mecanismos;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);174034.8
B2100359600000;SOCIEDADE DO CANSAÇO;2021;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3116298.86
B2100518800000;TEATRO UMA JANELA PARA A VIDA;2021;Renúncia — Outros Mecanismos;VIDEO DOMÉSTICO;208841.76
B2100115400000;TIME DE FÁBRICA;2021;Renúncia — Outros Mecanismos;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);82987.76
B2200401100000;24 HORAS PARA REDECORAR – 2ª TEMPORADA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2340351.83
B2200292500000;AEROPORTO - ÁREA RESTRITA (4A TEMPORADA);2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2259790.92
B2300041400000;ANDES EXTREMO;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1772451.8
B2200422100000;BELEZA DA NOITE;2022;Renúncia — Art.3/3-A/39;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);383855.85
B2200085600000;BOSSA NOSSA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);383855.85
B2200246400000;DEPOIS DO FOGO - TECNOLOGIAS QUE MUDARAM E VÃO MUDAR O MUNDO;2022;Renúncia — Outros Mecanismos;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);383855.85
B2300442700000;DESCOSTURANDO COM HERCHCOVITCH;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3290193.0
B2200247300000;ECONOMIA CIRCULAR;2022;Renúncia — Outros Mecanismos;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);317048.59
B2300485700000;ESQUADRÃO DO MAR AZUL;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);0.0
B2200105200000;EXPEDICIONÁRIOS DO BRASIL;2022;Renúncia — Outros Mecanismos;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);780180.54
B2200313300000;FOME DE LUTA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1778192.0
B2200310400000;FUJA SE FOR CAPAZ - 2ª TEMPORADA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3290193.0
B2200176000000;FUNK.DOC - POPULAR E PROIBIDO;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2046866.67
B2200325200000;GIGABLASTER 3ª TEMPORADA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3290193.0
B2200228000000;INDÚSTRIA 4.0;2022;Renúncia — Outros Mecanismos;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);548365.5
B2200171000000;LAMPZ;2022;Renúncia — Outros Mecanismos;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);625136.67
B2200507800000;MAPA DAS ESTRELAS;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1825994.82
B2200210000000;MAPA DO POP - 3° TEMPORADA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1871752.96
B2200147500000;MAR BRASIL - 2ª TEMPORADA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);0.0
B2200409000000;MARIGHELLA - SÉRIE;2022;Renúncia — Art.3/3-A/39;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);2193462.0
B2200310600000;MENOS É DEMAIS - 3A TEMPORADA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1731706.21
B2200173200000;MIND THE LIMITS;2022;Renúncia — Art.3/3-A/39;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);0.0
B2300064700000;MULHERES NA LUTA - 2ª TEMPORADA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2775606.81
B2200351200000;MULHERES VS COVID-19;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);87738.48
