cnpj_produtora;n_obras;n_estreadas;taxa_estreia;inv_fsa;inv_renuncia;inv_total;receita_ref;bilheteria_obs;retorno_dom_carteira;retorno_intl_medio;melhor_intl;n_sinal_intl;publico;ano_primeira;ano_ultima;so_fsa;so_renuncia;uf_obras;razao_social;uf;cluster;p1;pre2006
05572253000153;1;1;1.0;348048.5;581806.5;929855.0;90213.12;27315.12;0.09701848137612853;0.0;0.0;0;1374.0;2023;2023;False;False;SP;LENTE VIVA FILMES LTDA - EPP;SP;Pequeno Porte;2012;False
63190623000194;2;1;0.5;928027.6799999999;0.0;928027.6799999999;331959.88;137052.72;0.35770471846270796;0.0;0.0;0;6894.0;2018;2021;True;False;BA;PORTFOLIUM LABORATÓRIO DE IMAGENS EIRELI;;Pequeno Porte;1993;True
13384449000142;1;1;1.0;913949.81;6593.81;920543.62;74348.88;11450.88;0.0807662759098803;0.0;0.0;0;576.0;2023;2023;False;False;DF;AMORIM FILMES PRODUÇÕES CINEMATOGRÁFICAS EIRELI;DF;Pequeno Porte;2012;False
12126484000107;2;2;1.0;505540.35;414884.36;920424.71;433922.52;25525.92;0.4714372781234872;0.6000000000000001;0.8;2;1284.0;2018;2021;False;False;SP;BOULEVARD FILMES LTDA;SP;Pequeno Porte;2006;False
18589962000193;1;1;1.0;919285.01;0.0;919285.01;2286.2;2286.2;0.002486932752226646;0.0;0.0;0;115.0;2019;2019;True;False;ES;FINORDIA PRODUÇÕES CULTURAIS LTDA - ME;ES;Pequeno Porte;2010;False
11384969000120;2;2;1.0;912812.84;0.0;912812.84;635262.6399999999;45664.36;0.695939640813992;0.0;0.0;0;2297.0;2017;2021;True;False;RS;LEONARDO GARCIA E CIA LTDA;;Pequeno Porte;2017;False
12638556000197;1;1;1.0;458928.95;422241.43;881170.38;10277.96;10277.96;0.011663987162164937;0.0;0.0;0;517.0;2022;2022;False;False;SP;G2 PRODUÇÕES LTDA - ME;SP;Pequeno Porte;2022;False
01009824000195;2;0;0.0;0.0;879423.6;879423.6;0.0;0.0;0.0;;0.0;0;0.0;2016;2017;False;True;SC;ARAPY PRODUÇÕES LTDA.;SC;Pequeno Porte;2013;False
09324313000170;1;1;1.0;0.0;878097.74;878097.74;109335.52;6600.16;0.12451406605374021;0.0;0.0;0;0.0;2015;2015;False;True;RJ;COM DOMÃNIO PRODUÃÃES LTDA;RJ;Pequeno Porte;2010;False
09260004000183;1;1;1.0;556877.6;314490.0;871367.6;315054.04;21530.04;0.3615627204867383;0.0;0.0;0;1083.0;2023;2023;False;False;SP;TERRA FIRME PRODUÇÕES CINEMATOGRÁFICAS LTDA;SP;Pequeno Porte;2005;True
