cpb;titulo;ano;categoria;cat_nova;chamada;tem_complementacao;tem_comercializacao;cnpj_produtora;uf;tipo_obra;segmento_destinacao_inicial;instrumento;inv_fsa;inv_renuncia;inv_total;bilheteria_obs;renda_pmi_estimada;janelas_crt;receita_ref;publico_domestico;sessoes_total;n_municipios;roi_internacional_0_100;pontuacao_festivais;adm_eu_lumiere;vod_n_plataformas;vod_n_paises;total_paises_alcancados;critica_indice_1_5;critica_n_fontes;critica_confianca;cita_n_papers;cita_soma_cit;cita_max_cit;universo_aplicacao;universo_retorno;retorno_dom;retorno_intl;tem_intl
B1600591900000;OS ENIGMAS DOS DESAPARECIDOS;2014;Renúncia — Outros Mecanismos;;;;;10922699000109;RS;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;31310.47;31310.47;0.0;0.0;0.0;0.0;;;;0.0;0.0;0;0;0;0;3.771;1;alta;0.0;;;True;False;;;False
B1402391300000;OS INIMIGOS DA DOR;2014;Renúncia — Art.3/3-A/39;;;;;06137016000127;SP;FICÇÃO;SALAS DE EXIBIÇÃO;sem inv.;0.0;0.0;0.0;5566.4;0.0;0.0;5566.4;;;;3.1;15.5;0;0;0;0;3.862;2;media;0.0;;;False;False;;;False
B1402408400000;OURO, SUOR E LÁGRIMAS;2014;Renúncia — Outros Mecanismos;;;;;32267676000132;RJ;DOCUMENTÁRIO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;874594.0;874594.0;33776.12;0.0;209902.56;243678.68;;;;0.0;0.0;0;0;0;0;3.962;2;alta;0.0;;;True;True;0.2786191993084791;0.0;False
B1500339400000;PEQUENO DICIONÁRIO AMOROSO 2;2014;Renúncia — Art.3/3-A/39;;;;;40447906000173;RJ;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;7294113.96;7294113.96;330842.96;0.0;358583.54;689426.5;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;True;0.09451819697097247;0.0;False
B1402297300000;PLÍNIO MARCOS NAS QUEBRADAS DO MUNDARÉU;2014;Renúncia — Outros Mecanismos;;;;;02758386000120;RJ;DOCUMENTÁRIO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;1048604.18;1048604.18;0.0;0.0;209902.56;209902.56;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;False;;;False
B1500138300000;PONTE AÉREA;2014;Renúncia — Art.3/3-A/39;;;;;42473256000166;RJ;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;4069662.01;4069662.01;692181.84;0.0;358583.54;1050765.38;;;;0.0;0.0;0;0;0;0;3.9;1;baixa;0.0;;;True;True;0.2581947536227953;0.0;False
B1600730100000;POR TRÁS DO CÉU;2014;Renúncia — Art.3/3-A/39;;;;;51264273000184;SP;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;783636.22;783636.22;29243.48;0.0;734658.96;763902.44;;;;0.0;0.0;0;0;0;0;4.02;2;media;0.0;;;True;True;0.9748176775187855;0.0;False
B1402301300000;POR UM PUNHADO DE DÓLARES - OS NOVOS EMIGRADOS;2014;Renúncia — Outros Mecanismos;;;;;31553936000173;RJ;DOCUMENTÁRIO;INDEFINIDO;Renúncia pura;0.0;524756.4;524756.4;6083.28;0.0;244886.32;250969.6;;;;0.0;0.0;0;0;0;0;4.345;2;alta;0.0;;;True;True;0.4782592456233025;0.0;False
B1402719200000;REAL BELEZA;2014;Renúncia — Art.3/3-A/39;;;;;94625829000123;RS;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;3673294.8;3673294.8;222795.16;0.0;349837.6;572632.76;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;True;0.1558907714131738;0.0;False
B1500166700000;SABOTAGE: O MAESTRO DO CANÃO;2014;Renúncia — Outros Mecanismos;;;;;06013078000127;SP;DOCUMENTÁRIO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;542248.28;542248.28;0.0;0.0;734658.96;734658.96;;;;0.0;0.0;0;0;0;0;3.734;2;alta;0.0;;;True;False;;;False
B1500683800000;SAÚDE S.A.;2014;Renúncia — Art.3/3-A/39;;;;;00659237000189;SP;DOCUMENTÁRIO;SALAS DE EXIBIÇÃO;sem inv.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0;0;0;0;4.6;1;baixa;4.0;0.0;0.0;False;False;;;False
B1402173200000;SEM PENA;2014;Renúncia — Outros Mecanismos;;;;;00205194000161;SP;DOCUMENTÁRIO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;1320636.94;1320636.94;147787.92;0.0;323599.78;471387.70000000007;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;True;0.3569396597372175;0.0;False
B1500091200000;SUPERPAI;2014;Renúncia — Art.3/3-A/39;;;;;11545487000104;SP;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;5247564.0;5247564.0;9007926.2;0.0;358583.54;9366509.739999998;;;;0.0;0.0;0;0;0;0;3.5;1;baixa;0.0;;;True;True;1.7849252986719168;0.0;False
B1500071300000;SURFAR É COISA DE RICO;2014;Renúncia — Art.3/3-A/39;;;;;05326727000187;SP;DOCUMENTÁRIO;SALAS DE EXIBIÇÃO;sem inv.;0.0;0.0;0.0;2027.76;0.0;104951.28;106979.04;;;;0.0;0.0;0;0;0;0;3.683;2;media;0.0;;;False;False;;;False
B1402215300000;TUDO POR AMOR AO CINEMA;2014;Renúncia — Art.3/3-A/39;;;;;01605800000107;SP;DOCUMENTÁRIO;INDEFINIDO;Renúncia pura;0.0;1455324.42;1455324.42;11908.12;0.0;104951.28;116859.4;;;;0.0;0.0;0;0;0;0;4.175;2;alta;0.0;;;True;True;0.08029783489787108;0.0;False
B1500150200000;TUDO QUE APRENDEMOS JUNTOS;2014;Renúncia — Art.3/3-A/39;;;;;01378559000112;SP;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;11837256.53;11837256.53;953365.28;0.0;358583.54;1311948.82;47956.0;15.0;8.0;4.5;22.5;0;0;0;0;3.612;2;alta;0.0;;;True;True;0.11083216931854396;4.5;True
B1402156100000;VERMELHO BRASIL - FILME;2014;Renúncia — Art.3/3-A/39;;;;;02020661000104;RJ;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;7413866.06;7413866.06;10695.44;0.0;244886.32;255581.76;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;True;0.03447347954921107;0.0;False
B1402241100000;VESTIDO PRA CASAR;2014;Renúncia — Art.3/3-A/39;;;;;09095244000170;RJ;FICÇÃO;INDEFINIDO;sem inv.;0.0;0.0;0.0;24945503.52;0.0;253632.26;25199135.78;;;;0.0;0.0;0;0;0;0;2.0;1;baixa;0.0;;;False;False;;;False
B1600181500000;A CIDADE ONDE ENVELHEÇO;2015;Renúncia — Outros Mecanismos;;;;;07525577000166;MG;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;633798.14;633798.14;185281.6;0.0;221276.16;406557.76;;;;20.6;53.0;0;7;7;0;0.0;0;;0.0;;;True;True;0.6414625325344123;20.6;True
B1600680500000;A DESTRUIÇÃO DE BERNARDET;2015;Renúncia — Outros Mecanismos;;;;;67619171000174;SP;DOCUMENTÁRIO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;790272.0;790272.0;26937.4;0.0;442552.32;469489.72000000003;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;True;0.5940862386621315;0.0;False
B1500710900000;A LENDA DO GATO PRETO;2015;Renúncia — Outros Mecanismos;;;;;05966506000173;CE;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;834369.18;834369.18;0.0;0.0;0.0;0.0;;;;0.0;0.0;0;0;0;0;3.793;2;alta;0.0;;;True;False;;;False
B1600296800000;A LOUCURA ENTRE NÓS;2015;Renúncia — Outros Mecanismos;;;;;13535692000114;BA;DOCUMENTÁRIO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;1422489.6;1422489.6;102839.24;0.0;102735.36;205574.6;;;;0.0;0.0;0;0;0;0;3.6;1;baixa;0.0;;;True;True;0.144517471340388;0.0;False
