p;L
6.314606741573034476e-01;2.051408927776975366e-01
6.337078651685393860e-01;2.071213637116550987e-01
6.359550561797753243e-01;2.091132119302403780e-01
6.382022471910112627e-01;2.111059281465389736e-01
6.404494382022472010e-01;2.130986443628375415e-01
6.426966292134832504e-01;2.151220139472370119e-01
6.449438202247191887e-01;2.171485372173523054e-01
6.471910112359551270e-01;2.192076507381745254e-01
6.494382022471910654e-01;2.212720563666711049e-01
6.516853932584270037e-01;2.233651426468781509e-01
6.539325842696629421e-01;2.254641348904470044e-01
6.561797752808988804e-01;2.275812045412174689e-01
6.584269662921349298e-01;2.296992626183758934e-01
6.606741573033708681e-01;2.318297298966678632e-01
6.629213483146068064e-01;2.339816336755989878e-01
6.651685393258427448e-01;2.361419501121670983e-01
6.674157303370786831e-01;2.383229724368361169e-01
6.696629213483146215e-01;2.405421033346098469e-01
6.719101123595506708e-01;2.427808877632658957e-01
6.741573033707866092e-01;2.450215437410785679e-01
6.764044943820225475e-01;2.472724011086362417e-01
6.786516853932584858e-01;2.495564272044316079e-01
6.808988764044944242e-01;2.518475823114793011e-01
6.831460674157303625e-01;2.541391614293080359e-01
6.853932584269663009e-01;2.564723526476837545e-01
6.876404494382023502e-01;2.588062854136642943e-01
6.898876404494382886e-01;2.611430450105022838e-01
6.921348314606742269e-01;2.634870998244578377e-01
6.943820224719101653e-01;2.658540161461879214e-01
6.966292134831461036e-01;2.682387719212805388e-01
6.988764044943820419e-01;2.706333083630041991e-01
7.011235955056180913e-01;2.730850877878692740e-01
7.033707865168540296e-01;2.756326150043350021e-01
7.056179775280899680e-01;2.782102184603864048e-01
7.078651685393259063e-01;2.807910389076127555e-01
7.101123595505618447e-01;2.834142702602147068e-01
7.123595505617977830e-01;2.860377046173251392e-01
7.146067415730337213e-01;2.886701414734960669e-01
7.168539325842697707e-01;2.913035800854007484e-01
7.191011235955057090e-01;2.939480235732311320e-01
7.213483146067416474e-01;2.966308738202104167e-01
7.235955056179775857e-01;2.993137240671897015e-01
7.258426966292135241e-01;3.020038125510129956e-01
7.280898876404494624e-01;3.047401046304815120e-01
7.303370786516855118e-01;3.075011160355107243e-01
7.325842696629214501e-01;3.102644355079067773e-01
7.348314606741573884e-01;3.130476243536763348e-01
7.370786516853933268e-01;3.158386876624077466e-01
7.393258426966292651e-01;3.186371681982278492e-01
7.415730337078652035e-01;3.214612456344390634e-01
7.438202247191011418e-01;3.242853230706503331e-01
7.460674157303371912e-01;3.271765732362552082e-01
7.483146067415731295e-01;3.300799962393848874e-01
7.505617977528090679e-01;3.330219540956053104e-01
7.528089887640450062e-01;3.359720549850263582e-01
7.550561797752809445e-01;3.389224124018186957e-01
7.573033707865168829e-01;3.418935123624131101e-01
7.595505617977528212e-01;3.448891313510247247e-01
7.617977528089888706e-01;3.479415801219889470e-01
7.640449438202248089e-01;3.509970783203134603e-01
7.662921348314607473e-01;3.540536223273239580e-01
7.685393258426966856e-01;3.571172018436202245e-01
7.707865168539326239e-01;3.602084725757107586e-01
7.730337078651685623e-01;3.633019130608697855e-01
7.752808988764046116e-01;3.664144059877353365e-01
7.775280898876405500e-01;3.695398124063427603e-01
7.797752808988764883e-01;3.727009750454551296e-01
7.820224719101124267e-01;3.758890578709596642e-01
7.842696629213483650e-01;3.791042310910989754e-01
7.865168539325843033e-01;3.823915913315038551e-01
7.887640449438202417e-01;3.857063601734081471e-01
7.910112359550562910e-01;3.890319311190104656e-01
7.932584269662922294e-01;3.923823712470420610e-01
7.955056179775281677e-01;3.957375696924748110e-01
7.977528089887641061e-01;3.990993849342018285e-01
8.000000000000000444e-01;4.024772325291303132e-01
8.022471910112359827e-01;4.058661254525838258e-01
8.044943820224720321e-01;4.092753425016658619e-01
8.067415730337079705e-01;4.127044542248637926e-01
8.089887640449439088e-01;4.161337755368382796e-01
8.112359550561798471e-01;4.195870997845688732e-01
8.134831460674157855e-01;4.230748136196275655e-01
8.157303370786517238e-01;4.266570042949429098e-01
8.179775280898876622e-01;4.303302684497120612e-01
